"","Overall","Variable"
"meanPUR.Gain_Vert",100,"meanPUR.Gain_Vert"
"meanVOR.BCEA",82.4654154735699,"meanVOR.BCEA"
"meanPUR.TVA_Error_Mean_deg",52.6727549961636,"meanPUR.TVA_Error_Mean_deg"
"sumPUR.Num_Sacs",43.7409699208653,"sumPUR.Num_Sacs"
"meanVORGain",42.3558251933838,"meanVORGain"
"meanFIX.VVA_Mean_deg",40.7891533928651,"meanFIX.VVA_Mean_deg"
"meanAntSac.Saccade_Vel_Deg_s",36.5834109522877,"meanAntSac.Saccade_Vel_Deg_s"
"meanPUR.VVA_Mean_deg",35.27474796104,"meanPUR.VVA_Mean_deg"
"meanVOR.VVA_Mean_deg",23.2023943482924,"meanVOR.VVA_Mean_deg"
"meanEGO.Error_X_mm",21.1723792994702,"meanEGO.Error_X_mm"
"meanProSac.Saccade_Latency",18.9446585586728,"meanProSac.Saccade_Latency"
"meanEGO.Error_Y_mm",18.2314689330354,"meanEGO.Error_Y_mm"
"meanPUR.Gain",14.608907643747,"meanPUR.Gain"
"sumProSac.Test_Corr",11.4603982245254,"sumProSac.Test_Corr"
"meanVOR.HVA_Mean_deg",11.1040233248014,"meanVOR.HVA_Mean_deg"
"meanFIX.BCEA_68_Log10",10.2423830835033,"meanFIX.BCEA_68_Log10"
"sumVOR.Horiz_Saccade_Number",9.74992072214789,"sumVOR.Horiz_Saccade_Number"
"meanPUR.HVA_Mean_deg",5.53448191487095,"meanPUR.HVA_Mean_deg"
"meanFIX.HVA_Mean_deg",3.7328531631863,"meanFIX.HVA_Mean_deg"
"meanProSac.Saccade_Vel_Deg_s",3.52471196732355,"meanProSac.Saccade_Vel_Deg_s"
"meanAntSac.Saccade_Latency",2.59761893162093,"meanAntSac.Saccade_Latency"
"sumP2Str.Test_Corr",1.688753990304,"sumP2Str.Test_Corr"
"meanVOR.Time_Max_Gain",0.438649818071299,"meanVOR.Time_Max_Gain"
"meanP1Str.trialTime",0.409768011984751,"meanP1Str.trialTime"
"meanP1Str.Saccade_Latency",0.328927542280502,"meanP1Str.Saccade_Latency"
"meanP2Str.Saccade_Latency",0.0727831598415464,"meanP2Str.Saccade_Latency"
"sumVert_Saccade_Number",0,"sumVert_Saccade_Number"
"sumP1Str.Test_Corr",0,"sumP1Str.Test_Corr"
"meanP2Str.trialTime",0,"meanP2Str.trialTime"
"sumAntSac.Test_Corr",0,"sumAntSac.Test_Corr"
"meanPUR.Gain_Horiz",0,"meanPUR.Gain_Horiz"
